iter	Accuracy	MultiClass
0	0.4772384086	1.091388107
1	0.4809421125	1.084920639
2	0.4812117993	1.079132034
3	0.4822725688	1.073225276
4	0.4823085271	1.068534828
5	0.4831355678	1.063825188
6	0.4828299222	1.059733718
7	0.487935999	1.055522411
8	0.4882236652	1.051879014
9	0.4886731438	1.048420367
10	0.491963327	1.045282036
11	0.4917835357	1.042024155
12	0.4892125181	1.039362813
13	0.4908665993	1.036625393
14	0.4915498066	1.034574679
15	0.4928263258	1.032239601
16	0.494732115	1.030643107
17	0.4928263257	1.028634527
18	0.4935275123	1.026818273
19	0.4937612412	1.025063196
20	0.4937971995	1.023343226
21	0.4945343443	1.021718664
22	0.4958827801	1.020159158
23	0.4951636143	1.018800062
24	0.49525351	1.017548098
25	0.4955771346	1.016105168
26	0.49651205	1.014906353
27	0.4984358184	1.013572175
28	0.497123341	1.012430605
29	0.498238048	1.011486825
30	0.4977526111	1.010340355
31	0.4970514245	1.009158557
32	0.4993167966	1.00820154
33	0.4974649448	1.007248777
34	0.4993887131	1.006395728
35	0.5003955452	1.005366487
36	0.5008450238	1.004645572
37	0.5019597307	1.003771651
38	0.5036497702	1.003043897
39	0.5021035638	1.002263336
40	0.5013304606	1.001642763
41	0.503254229	1.000888501
42	0.504009353	1.000054754
43	0.5031463541	0.9992681289
44	0.5041891445	0.9986363571
45	0.5047105396	0.9979217992
46	0.5047105396	0.9974184155
47	0.5050701225	0.9967928054
48	0.5058971631	0.9961359907
49	0.5063106834	0.9956054357
50	0.506760162	0.9952732031
51	0.5067421828	0.9947314292
52	0.5064005791	0.9940755898
53	0.5067421828	0.993832484
54	0.5060230171	0.9934404622
55	0.5069039951	0.992892255
56	0.5053218305	0.9924716239
57	0.5067601619	0.9918029804
58	0.5069399534	0.9913879608
59	0.5069938908	0.9909164465
60	0.5081085977	0.99036783
61	0.50827041	0.9898125391
62	0.5088457426	0.9893532256
63	0.5092952211	0.9887881597
64	0.5109672816	0.9883791319
65	0.5107695109	0.9878493905
66	0.5115426141	0.9873086175
67	0.5120100719	0.9868668678
68	0.5125494462	0.9863699713
69	0.5139518194	0.9858774927
70	0.5130708414	0.9852520146
71	0.5121179467	0.9846323222
72	0.5129809456	0.9840951539
73	0.5126393419	0.9836506491
74	0.5131067996	0.9832228724
75	0.5133944659	0.9827856221
76	0.5131067996	0.9823026333
77	0.5140417151	0.9817938107
78	0.5149766306	0.981295229
79	0.5148687557	0.9809398662
80	0.5143473606	0.9804480804
81	0.5153362135	0.9799243756
82	0.516396983	0.9797016805
83	0.517026253	0.9792451196
84	0.517026253	0.9787982773
85	0.5177993562	0.9785638571
86	0.5170981696	0.978324907
87	0.5181409599	0.977880681
88	0.5200107908	0.9773701397
89	0.5206041026	0.9770966201
90	0.5206041026	0.976833493
91	0.5214131641	0.9763449282
92	0.5219525384	0.976116218
93	0.5219525384	0.9754838288
94	0.5249550554	0.9750639999
95	0.5244156811	0.9748593756
96	0.5243617437	0.9744682795
97	0.5248831388	0.9741477825
98	0.5259439083	0.9736331777
99	0.5266450949	0.9733071759
100	0.5278856559	0.9730012646
101	0.526896803	0.9725325079
102	0.5267349907	0.9720264632
103	0.5279216142	0.9714630955
104	0.5296116537	0.9709202585
105	0.5302049655	0.9705239435
106	0.5302049655	0.970353099
107	0.5309600895	0.9700842928
108	0.5303308195	0.9696653762
109	0.5304386943	0.9693809401
110	0.531391589	0.9689947541
111	0.5306184858	0.9685549731
112	0.5305645484	0.9681109026
113	0.5308522147	0.9678104674
114	0.5303847569	0.9674259998
115	0.5319129842	0.9668661222
116	0.5318590467	0.9667401522
117	0.5329737536	0.9663034363
118	0.5334412114	0.9658047824
119	0.5338547317	0.9656532379
120	0.5332793991	0.9652936463
121	0.535634667	0.9648649892
122	0.5357964792	0.9645585048
123	0.5349694386	0.9644272414
124	0.5354368964	0.9641054408
125	0.5373966231	0.9636758038
126	0.5378281225	0.9633163549
127	0.5373067273	0.962936491
128	0.5384933508	0.9625660704
129	0.5385652674	0.9621924436
130	0.5395541203	0.9617388337
131	0.540632869	0.9612964513
132	0.5416936385	0.9608104479
133	0.5425026999	0.960471212
134	0.5417295967	0.9599834781
135	0.5438511357	0.9595173859
136	0.5425566373	0.9591080029
137	0.5445703015	0.9585219074
138	0.5451456341	0.9582730705
139	0.5452535089	0.9577593302
140	0.5461165078	0.957186665
141	0.5470694024	0.956854167
142	0.546763757	0.9565395911
143	0.5470514233	0.9560853253
144	0.547644735	0.9556206615
145	0.5497123366	0.9552511453
146	0.5493707329	0.9546938342
147	0.5499640446	0.9542447801
148	0.5493707329	0.9538919894
149	0.5497842532	0.9536034356
150	0.5500179821	0.9532980297
151	0.5505393772	0.9529269832
152	0.5520855836	0.952662026
153	0.5519057922	0.9523151473
154	0.5523193125	0.9520633672
155	0.5518518548	0.9517779367
156	0.5528586868	0.9514513345
157	0.5520855836	0.9511519626
158	0.5535778526	0.9508712587
159	0.5532182697	0.9506566974
160	0.5535239152	0.9501011829
161	0.5541531852	0.9496508727
162	0.5529126243	0.9495141719
163	0.555501621	0.948923336
164	0.5571377231	0.9484751298
165	0.5581984926	0.9480193625
166	0.5573714519	0.9476804141
167	0.5570298482	0.9471732173
168	0.5575512434	0.9467771931
169	0.5569579316	0.9464815187
170	0.5588996792	0.9459295422
171	0.5604279064	0.9454621605
172	0.5597267198	0.945141554
173	0.559007554	0.9446802787
174	0.5584681797	0.944116808
175	0.5587738251	0.9435942862
176	0.5592412829	0.9432078519
177	0.5594030952	0.9427985689
178	0.5606436561	0.942509131
179	0.5607695101	0.9419650587
180	0.5628371117	0.9417706674
181	0.5623696539	0.9415821528
182	0.5643833181	0.9411201362
183	0.5640596934	0.9408585447
184	0.5664509196	0.9403780222
185	0.5681589383	0.9398932269
186	0.5680870217	0.9394355905
187	0.5685544795	0.9389254895
188	0.5687882083	0.9384850183
189	0.5699748318	0.9380363882
190	0.5695613115	0.9378539957
191	0.5691477912	0.9376419355
192	0.5678892511	0.9373143166
193	0.5707299559	0.9368419895
194	0.570244519	0.9365291462
195	0.5700647275	0.9360578236
196	0.5727076617	0.9355190584
197	0.5724559536	0.9350287683
198	0.5723300996	0.9345859516
199	0.5720963707	0.9340887485
200	0.5733369317	0.9336877752
201	0.5755843247	0.9331256967
202	0.5753685749	0.9324422411
203	0.5756742204	0.932100043
204	0.5764473236	0.9317830869
205	0.5756742204	0.9311086014
206	0.5752607001	0.9306243621
207	0.5747932423	0.930423823
208	0.5746853675	0.9300901283
209	0.5749190963	0.9295866644
210	0.5764473236	0.9291163717
211	0.5766810524	0.9287713472
212	0.5779216134	0.9285130091
213	0.5789644037	0.9280585597
214	0.5785688626	0.9275186228
215	0.5794857989	0.9269906686
216	0.578496946	0.9266126067
217	0.5783171545	0.9263401995
218	0.5786767374	0.925936543
219	0.5819309625	0.925443596
220	0.5833872731	0.9249425041
221	0.5834412105	0.9243168575
222	0.5825782117	0.924007317
223	0.5844480426	0.9234944833
224	0.5833872731	0.9232013013
225	0.5854548747	0.9228686893
226	0.5854009373	0.9224932449
227	0.5847896463	0.921980112
228	0.5855627495	0.9216792665
229	0.586623519	0.9210685257
230	0.5875764137	0.9206284193
231	0.5896799735	0.9199718913
232	0.5893923072	0.9194255773
233	0.5890507035	0.919001965
234	0.5904350975	0.9184221882
235	0.5922689702	0.9180173636
236	0.5934376146	0.9175434482
237	0.5932218649	0.9172825861
238	0.5949298835	0.9166650967
239	0.5957569242	0.9161886502
240	0.5940489055	0.9156763807
241	0.5969615268	0.9150934555
242	0.598741462	0.914622504
243	0.5991549823	0.9140988876
244	0.6000898978	0.9138296299
245	0.6013843962	0.9133870701
246	0.6019777079	0.9129718542
247	0.6013304588	0.9127349912
248	0.6003236267	0.9123048799
249	0.6006292722	0.9118002795
250	0.6019777079	0.9113824568
251	0.6026429363	0.9109862101
252	0.6019417497	0.9106198949
253	0.6026968737	0.9102529271
254	0.6048184127	0.90961631
255	0.6050341624	0.9092485158
256	0.6067961185	0.9088631785
257	0.6076591175	0.9083591938
258	0.6084322207	0.9079231972
259	0.6092053239	0.9075876589
260	0.6094929902	0.907182526
261	0.6093131987	0.9068187683
262	0.6103739682	0.90658479
263	0.6107335511	0.9061901251
264	0.6109133425	0.9057611984
265	0.6135562767	0.9052864894
266	0.6097087399	0.9048067161
267	0.610230135	0.9044649727
268	0.6115426126	0.9042318348
269	0.6114347377	0.9041047182
270	0.6123876324	0.9034334377
271	0.6141495885	0.9029212277
272	0.6146170462	0.9024267121
273	0.6155519617	0.9019037094
274	0.6154081285	0.9013550599
275	0.6156418573	0.9011308936
276	0.614724921	0.900806849
277	0.6158576071	0.9004315414
278	0.6167565644	0.9000742696
279	0.6160373986	0.8998020886
280	0.616091336	0.8993660296
281	0.6180151044	0.8987431006
282	0.61747573	0.8982686689
283	0.618842145	0.897883162
284	0.6199029145	0.8974296037
285	0.6197950396	0.8967628507
286	0.6215569957	0.896180905
287	0.6200827059	0.895745305
288	0.6214491209	0.8954267607
289	0.6223840364	0.8951686405
290	0.6248471791	0.8946503189
291	0.6233728893	0.8940286867
292	0.6235526807	0.8938072589
293	0.6256742197	0.8932970208
294	0.6251348454	0.8929288368
295	0.6263754063	0.8926586471
296	0.6262675315	0.892233049
297	0.6262855106	0.8919101337
298	0.6270046764	0.8914332485
299	0.6279935293	0.8911797404
300	0.6279216127	0.8907449237
301	0.6294498399	0.8902898843
302	0.6278137379	0.8898253584
303	0.6276339464	0.8895570443
304	0.6316253164	0.8891233765
305	0.6296835688	0.8887826274
306	0.6301510266	0.8885892699
307	0.6297375062	0.8882838699
308	0.6304386928	0.8879192053
309	0.6322006489	0.8875058351
310	0.632326503	0.8871647614
311	0.6334412099	0.8867787333
312	0.633081627	0.8865141961
313	0.6326141693	0.8862024233
314	0.6330276896	0.8857268771
315	0.6352750826	0.8852539243
316	0.6361560606	0.8848691468
317	0.6373966216	0.8843905748
318	0.6377921627	0.8839822744
319	0.6372707675	0.883526345
320	0.6379180167	0.8829246264
321	0.639446244	0.8825303243
322	0.6387450574	0.8821620195
323	0.6383854745	0.8816316348
324	0.6387989948	0.8813850234
325	0.6386731408	0.8809548383
326	0.6402732846	0.8803864734
327	0.6401114723	0.880086266
328	0.641693637	0.8796373001
329	0.6425566358	0.8790166869
330	0.6437432594	0.8784478715
331	0.6439769882	0.8781544908
332	0.6456310695	0.8777531676
333	0.6451636117	0.8772831418
334	0.6453973406	0.8767667894
335	0.6452175492	0.8764002228
336	0.6460445898	0.8759978041
337	0.6479863373	0.8753591749
338	0.6462783187	0.8749292223
339	0.6477526085	0.8746647731
340	0.6481661288	0.8745835812
341	0.6478065459	0.8742942564
342	0.6484537951	0.8739591868
343	0.6491549817	0.8736173919
344	0.6472132341	0.8733330541
345	0.6491190234	0.8728985357
346	0.6492268983	0.8723773853
347	0.6494606271	0.8720261594
348	0.6500000015	0.8716586408
349	0.6494066897	0.8713394389
350	0.6503595844	0.8710837186
351	0.6497662726	0.8705420755
352	0.6514742913	0.8700800035
353	0.6507191673	0.869740035
