iter	Passed	Remaining
0	38	23340
1	68	20593
2	95	18974
3	117	17495
4	140	16746
5	174	17306
6	205	17374
7	230	17025
8	252	16567
9	277	16381
10	301	16145
11	322	15805
12	353	15948
13	388	16255
14	425	16582
15	455	16612
16	480	16473
17	501	16231
18	527	16124
19	551	15982
20	572	15780
21	596	15665
22	618	15522
23	642	15419
24	666	15327
25	693	15310
26	717	15236
27	742	15165
28	767	15118
29	789	14992
30	813	14922
31	837	14868
32	859	14774
33	884	14716
34	906	14634
35	927	14535
36	953	14512
37	979	14491
38	1001	14410
39	1023	14329
40	1045	14254
41	1067	14176
42	1092	14145
43	1113	14076
44	1138	14036
45	1160	13979
46	1183	13929
47	1207	13881
48	1231	13843
49	1253	13787
50	1275	13727
51	1298	13685
52	1321	13640
53	1344	13598
54	1369	13567
55	1393	13535
56	1416	13497
57	1442	13475
58	1466	13448
59	1488	13393
60	1512	13361
61	1536	13336
62	1559	13293
63	1582	13254
64	1607	13227
65	1629	13184
66	1651	13141
67	1679	13142
68	1703	13108
69	1726	13073
70	1750	13042
71	1775	13017
72	1800	12996
73	1822	12956
74	1844	12908
75	1867	12877
76	1889	12836
77	1913	12807
78	1940	12797
79	1972	12824
80	1999	12810
81	2026	12801
82	2054	12799
83	2078	12767
84	2102	12741
85	2130	12732
86	2152	12691
87	2177	12668
88	2200	12633
89	2222	12596
90	2245	12560
91	2271	12540
92	2294	12506
93	2316	12471
94	2340	12440
95	2362	12404
96	2386	12375
97	2411	12353
98	2446	12379
99	2478	12391
100	2511	12408
101	2544	12423
102	2571	12407
103	2595	12379
104	2619	12349
105	2645	12328
106	2669	12299
107	2691	12259
108	2714	12225
109	2740	12207
110	2764	12180
111	2787	12147
112	2814	12131
113	2840	12109
114	2866	12087
115	2891	12066
116	2913	12029
117	2939	12007
118	2967	11995
119	2992	11970
120	3018	11947
121	3044	11926
122	3068	11899
123	3095	11883
124	3122	11865
125	3149	11849
126	3175	11828
127	3202	11809
128	3226	11782
129	3252	11759
130	3283	11756
131	3308	11728
132	3335	11711
133	3360	11687
134	3384	11656
135	3406	11622
136	3430	11594
137	3456	11571
138	3478	11536
139	3503	11513
140	3526	11480
141	3549	11448
142	3571	11414
143	3599	11397
144	3623	11371
145	3650	11352
146	3672	11318
147	3695	11287
148	3717	11253
149	3741	11224
150	3765	11196
151	3787	11163
152	3810	11132
153	3833	11100
154	3857	11076
155	3877	11035
156	3899	11002
157	3923	10975
158	3957	10975
159	3983	10954
160	4011	10938
161	4039	10921
162	4063	10894
163	4087	10867
164	4114	10847
165	4137	10816
166	4162	10791
167	4188	10769
168	4212	10742
169	4237	10717
170	4265	10701
171	4289	10672
172	4312	10643
173	4337	10620
174	4363	10597
175	4388	10571
176	4414	10549
177	4439	10525
178	4463	10499
179	4487	10470
180	4513	10449
181	4540	10427
182	4575	10425
183	4607	10416
184	4631	10390
185	4662	10376
186	4687	10352
187	4709	10321
188	4735	10297
189	4758	10268
190	4783	10242
191	4803	10208
192	4832	10189
193	4857	10166
194	4880	10137
195	4908	10116
196	4938	10102
197	4961	10073
198	4988	10052
199	5015	10030
200	5036	9998
201	5060	9970
202	5083	9941
203	5107	9914
204	5127	9879
205	5152	9853
206	5176	9828
207	5198	9796
208	5219	9765
209	5242	9736
210	5267	9710
211	5286	9674
212	5309	9647
213	5331	9616
214	5354	9588
215	5376	9559
216	5400	9532
217	5424	9504
218	5449	9480
219	5478	9463
220	5504	9439
221	5533	9421
222	5558	9397
223	5585	9375
224	5609	9349
225	5637	9329
226	5664	9308
227	5692	9287
228	5713	9256
229	5750	9250
230	5779	9231
231	5803	9205
232	5828	9179
233	5851	9151
234	5876	9126
235	5901	9101
236	5931	9084
237	5955	9057
238	5982	9036
239	6010	9016
240	6037	8992
241	6068	8977
242	6098	8959
243	6127	8939
244	6151	8913
245	6174	8885
246	6199	8860
247	6227	8839
248	6250	8811
249	6274	8784
250	6297	8756
251	6321	8729
252	6344	8701
253	6366	8672
254	6392	8649
255	6418	8625
256	6440	8596
257	6464	8569
258	6488	8543
259	6510	8513
260	6534	8486
261	6557	8459
262	6580	8432
263	6607	8409
264	6637	8390
265	6675	8381
266	6705	8362
267	6734	8342
268	6760	8318
269	6781	8288
270	6805	8262
271	6831	8238
272	6852	8207
273	6875	8179
274	6899	8153
275	6926	8130
276	6954	8108
277	6978	8082
278	7000	8053
279	7024	8028
280	7050	8003
281	7077	7980
282	7099	7952
283	7122	7924
284	7147	7900
285	7172	7874
286	7196	7847
287	7219	7821
288	7242	7794
289	7263	7764
290	7287	7738
291	7310	7710
292	7333	7683
293	7357	7657
294	7380	7630
295	7403	7603
296	7425	7575
297	7447	7547
298	7469	7519
299	7495	7495
300	7518	7468
301	7542	7442
302	7566	7417
303	7588	7388
304	7612	7362
305	7634	7335
306	7657	7307
307	7676	7277
308	7695	7247
309	7722	7224
310	7747	7199
311	7768	7171
312	7791	7144
313	7815	7118
314	7839	7092
315	7862	7066
316	7887	7041
317	7916	7020
318	7943	6996
319	7966	6970
320	7991	6945
321	8016	6920
322	8044	6898
323	8072	6876
324	8098	6852
325	8126	6830
326	8155	6808
327	8184	6787
328	8210	6762
329	8233	6736
330	8256	6710
331	8279	6683
332	8301	6656
333	8327	6631
334	8351	6606
335	8375	6580
336	8400	6555
337	8422	6528
338	8446	6503
339	8471	6478
340	8494	6452
341	8517	6425
342	8540	6399
343	8562	6372
344	8583	6344
345	8607	6318
346	8632	6293
347	8655	6267
348	8678	6241
349	8706	6218
350	8739	6199
351	8778	6184
352	8805	6161
353	8834	6139
354	8864	6117
355	8886	6090
356	8912	6066
357	8937	6041
358	8962	6016
359	8986	5990
360	9008	5964
361	9032	5938
362	9057	5913
363	9079	5886
364	9104	5861
365	9130	5837
366	9154	5811
367	9176	5785
368	9201	5760
369	9222	5732
370	9245	5706
371	9268	5680
372	9290	5654
373	9315	5628
374	9336	5602
375	9362	5577
376	9387	5552
377	9412	5527
378	9437	5503
379	9459	5476
380	9483	5451
381	9505	5424
382	9530	5399
383	9554	5374
384	9576	5347
385	9599	5321
386	9623	5296
387	9652	5273
388	9674	5247
389	9698	5222
390	9722	5197
391	9748	5172
392	9771	5146
393	9793	5120
394	9819	5095
395	9841	5069
396	9864	5044
397	9894	5021
398	9931	5003
399	9962	4981
400	9995	4960
401	10021	4936
402	10052	4914
403	10076	4888
404	10101	4863
405	10122	4836
406	10149	4813
407	10172	4787
408	10195	4761
409	10221	4736
410	10243	4710
411	10271	4686
412	10296	4662
413	10319	4636
414	10341	4610
415	10366	4585
416	10392	4560
417	10418	4536
418	10450	4514
419	10475	4489
420	10501	4464
421	10522	4438
422	10549	4414
423	10573	4388
424	10598	4364
425	10620	4338
426	10645	4312
427	10669	4287
428	10696	4263
429	10719	4238
430	10742	4212
431	10765	4186
432	10794	4163
433	10818	4138
434	10848	4115
435	10883	4093
436	10915	4071
437	10945	4048
438	10973	4024
439	10998	3999
440	11021	3973
441	11047	3948
442	11069	3923
443	11092	3897
444	11117	3872
445	11141	3847
446	11163	3821
447	11188	3796
448	11212	3770
449	11235	3745
450	11257	3719
451	11281	3693
452	11303	3668
453	11326	3642
454	11351	3617
455	11375	3592
456	11398	3566
457	11424	3541
458	11447	3516
459	11472	3491
460	11499	3467
461	11521	3441
462	11543	3415
463	11565	3389
464	11590	3365
465	11614	3339
466	11637	3314
467	11660	3288
468	11682	3263
469	11707	3238
470	11732	3213
471	11758	3188
472	11780	3162
473	11802	3137
474	11826	3112
475	11848	3086
476	11877	3062
477	11905	3038
478	11929	3013
479	11954	2988
480	11979	2963
481	12002	2938
482	12027	2913
483	12053	2888
484	12076	2863
485	12101	2838
486	12131	2814
487	12156	2790
488	12188	2766
489	12219	2743
490	12249	2719
491	12275	2694
492	12299	2669
493	12321	2643
494	12346	2618
495	12371	2594
496	12393	2568
497	12419	2543
498	12446	2519
499	12470	2494
500	12497	2469
501	12522	2444
502	12547	2419
503	12571	2394
504	12594	2369
505	12617	2343
506	12639	2318
507	12663	2293
508	12688	2268
509	12710	2243
510	12732	2217
511	12756	2192
512	12781	2167
513	12804	2142
514	12828	2117
515	12851	2092
516	12878	2067
517	12908	2043
518	12940	2019
519	12969	1995
520	13000	1971
521	13028	1946
522	13054	1921
523	13078	1896
524	13104	1872
525	13124	1846
526	13146	1821
527	13169	1795
528	13192	1770
529	13214	1745
530	13239	1720
531	13265	1695
532	13286	1670
533	13306	1644
534	13328	1619
535	13353	1594
536	13378	1569
537	13401	1544
538	13424	1519
539	13448	1494
540	13469	1468
541	13491	1443
542	13516	1418
543	13539	1393
544	13562	1368
545	13587	1343
546	13613	1319
547	13637	1294
548	13659	1268
549	13683	1243
550	13706	1218
551	13731	1194
552	13755	1169
553	13781	1144
554	13803	1119
555	13825	1094
556	13854	1069
557	13881	1044
558	13906	1019
559	13931	995
560	13956	970
561	13983	945
562	14008	920
563	14030	895
564	14054	870
565	14077	845
566	14107	821
567	14132	796
568	14162	771
569	14190	746
570	14215	721
571	14240	697
572	14267	672
573	14290	647
574	14315	622
575	14340	597
576	14362	572
577	14388	547
578	14411	522
579	14435	497
580	14457	472
581	14479	447
582	14507	423
583	14532	398
584	14557	373
585	14584	348
586	14607	323
587	14630	298
588	14655	273
589	14675	248
590	14696	223
591	14721	198
592	14743	174
593	14768	149
594	14792	124
595	14820	99
596	14845	74
597	14874	49
598	14899	24
599	14925	0
